"station_id","station_name","latitude","longitude","collection_date","Dissolved Oxygen","Nitrate","Phosphate","pH","Turbidity","Temperature","Group","Color","YearRange","TotalSamples","StationSampleCount","MarkerSize"
"PC3","PC3",41.24695161,-81.83086455,2019-10-20,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,124,8.34065861769801
"PC2","PC2",41.23399597,-81.81094233,2019-10-20,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,117,8.24499614791759
"PC4","PC4",41.239,-81.818,2019-10-20,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,124,8.34065861769801
"CC2","CC2",41.43899699,-81.85506705,2019-10-20,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,22,6.40712472794703
"PCO1","PCO1",41.378,-81.899,2019-10-26,6.1,2.7,1.49,8.94,NA,13.1,"Rocky","#f69d01",2,1086,53,7.18403296678416
"BC5","BC5",41.34997887,-81.82612137,2019-10-28,12.26,2.7,0.49,7.82,90,14.6,"Rocky","#f69d01",2,1086,38,6.84932420089069
"BC2.5","BC2.5",41.36301,-81.854031,2019-10-28,7.1,1.9,0.36,7.97,100,12.5,"Rocky","#f69d01",2,1086,57,7.26495033058123
"AC3","AC3",41.37498391,-81.83283236,2019-10-28,6.66,0.3,0.45,8.6,100,12.4,"Rocky","#f69d01",2,1086,52,7.16333076527839
"AC3","AC3",41.37498391,-81.83283236,2019-10-28,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,52,7.16333076527839
"BC2.5","BC2.5",41.36301,-81.854031,2019-10-28,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,57,7.26495033058123
"BC5","BC5",41.34997887,-81.82612137,2019-10-28,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,38,6.84932420089069
"BC7","BC7",41.34993356,-81.77722933,2019-10-30,6.53,4.3,1.06,7.77,100,14.2,"Rocky","#f69d01",2,1086,25,6.5
"BC7","BC7",41.34993356,-81.77722933,2019-10-30,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,25,6.5
"MS3","MS3",41.47702412,-81.82999061,2019-11-01,13,0.4,0.16,8.35,15,10.3,"Rocky","#f69d01",2,1086,105,8.07408522978788
"CC1","CC1",41.44804223,-81.8362937,2019-11-01,14.1,1.5,0.23,8.39,100,8.7,"Rocky","#f69d01",2,1086,28,6.58745078663875
"MS3","MS3",41.47702412,-81.82999061,2019-11-01,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,105,8.07408522978788
"MS4","MS4",41.46,-81.822,2019-11-01,14.6,0.3,0.93,8.4,12,10.3,"Rocky","#f69d01",2,1086,57,7.26495033058123
"CC1","CC1",41.44804223,-81.8362937,2019-11-01,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,28,6.58745078663875
"MS5","MS5",41.424,-81.857,2019-11-01,14.4,0.1,0.21,8.49,13,10.9,"Rocky","#f69d01",2,1086,18,6.27279220613579
"PC4","PC4",41.239,-81.818,2019-11-02,5.15,0.3,0.18,7.42,100,7.1,"Rocky","#f69d01",2,1086,124,8.34065861769801
"PC3","PC3",41.24695161,-81.83086455,2019-11-02,8.05,0.7,0.09,7.58,100,11.1,"Rocky","#f69d01",2,1086,124,8.34065861769801
"PC2","PC2",41.23399597,-81.81094233,2019-11-02,7.71,0.2,0.49,7.4,20,10,"Rocky","#f69d01",2,1086,117,8.24499614791759
"PC2","PC2",41.23399597,-81.81094233,2019-11-02,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,117,8.24499614791759
"PC4","PC4",41.239,-81.818,2019-11-02,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,124,8.34065861769801
"PC3","PC3",41.24695161,-81.83086455,2019-11-02,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,124,8.34065861769801
"UEB3","UEB3",41.2177,-81.7066,2019-11-05,9.25,0,0.23,8.26,45,8.7,"Rocky","#f69d01",2,1086,91,7.86181760425084
"UEB2","UEB2",41.21754476,-81.7142186,2019-11-05,9.4,0.2,0.29,7.84,100,10.8,"Rocky","#f69d01",2,1086,99,7.98496231131986
"PCO1","PCO1",41.378,-81.899,2019-11-05,12.3,1.9,0.42,8.74,100,10.53,"Rocky","#f69d01",2,1086,53,7.18403296678416
"UEB2","UEB2",41.21754476,-81.7142186,2019-11-05,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,99,7.98496231131986
"UEB3","UEB3",41.2177,-81.7066,2019-11-05,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,91,7.86181760425084
"PCO1","PCO1",41.378,-81.899,2019-11-10,13.9,2.5,0.3,9.02,100,7.7,"Rocky","#f69d01",2,1086,53,7.18403296678416
"PCO1","PCO1",41.378,-81.899,2019-11-17,16.5,0.6,0.23,9,100,5.3,"Rocky","#f69d01",2,1086,53,7.18403296678416
"PCO1","PCO1",41.378,-81.899,2019-11-26,14.2,1.1,1.29,9.38,100,7.6,"Rocky","#f69d01",2,1086,53,7.18403296678416
"PCO1","PCO1",41.378,-81.899,2019-12-01,15.4,5,0.14,9.37,100,7.9,"Rocky","#f69d01",2,1086,53,7.18403296678416
"PC4","PC4",41.239,-81.818,2019-12-07,8.88,0.4,0.08,8.48,73.6,2.9,"Rocky","#f69d01",2,1086,124,8.34065861769801
"PC3","PC3",41.24695161,-81.83086455,2019-12-07,10.81,0.9,0.96,8.03,100,5.8,"Rocky","#f69d01",2,1086,124,8.34065861769801
"PC2","PC2",41.23399597,-81.81094233,2019-12-07,10.41,0.3,0.25,8.63,66.8,3.1,"Rocky","#f69d01",2,1086,117,8.24499614791759
"PC3","PC3",41.24695161,-81.83086455,2019-12-07,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,124,8.34065861769801
"PC4","PC4",41.239,-81.818,2019-12-07,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,124,8.34065861769801
"PC2","PC2",41.23399597,-81.81094233,2019-12-07,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,117,8.24499614791759
"UEB3","UEB3",41.2177,-81.7066,2019-12-08,12.17,0.2,0.1,8.23,52,2.1,"Rocky","#f69d01",2,1086,91,7.86181760425084
"UEB2","UEB2",41.21754476,-81.7142186,2019-12-08,10.95,0.1,0.24,8.07,100,3.7,"Rocky","#f69d01",2,1086,99,7.98496231131986
"UEB2","UEB2",41.21754476,-81.7142186,2019-12-08,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,99,7.98496231131986
"UEB3","UEB3",41.2177,-81.7066,2019-12-08,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,91,7.86181760425084
